|#|Kanji|Onyomi|Kunyomi|Kanji Meaning|
|425|曽|sou, so|katsu, katsute, sunawachi|formerly, once, before, ever, never, ex-|
|426|倫|rin||ethics, companion|
|427|陳|chin|hi(neru)|exhibit, state, relate, explain|
|428|憶|oku||recollection, think, remember|
|429|潜|sen|hiso(mu), mogu(ru), kaku(reru), kugu(ru)|submerge, conceal, hide, lower (voice), hush|
|430|梨|ri|nashi|pear tree|
|431|仁|jin, ni, nin||humanity, virtue, benevolence, charity, man, kernel|
|432|克|koku|ka(tsu)|overcome, kindly, skillfully|
|433|岳|gaku|dake|point, peak, mountain|
|434|概|gai|oomu(ne)|outline, condition, approximation, generally|
|435|拘|kou|kaka(waru)|arrest, seize, concerned, adhere to, despite|
|436|墓|bo|haka|grave, tomb|
|437|黙|moku, boku|dama(ru), moda(su)|silence, become silent, stop speaking, leave as is|
|438|須|su, shu|subekara(ku), subeshi, hige, matsu, mochi(iru), moto(meru)|ought, by all means, necessarily|
|439|偏|hen|katayo(ru)|partial, side, left-side radical, inclining, biased|
|440|雰|fun||atmosphere, fog|
|441|遇|guu|a(u)|meet, encounter, interview, treat, entertain, receive, deal with|
|442|諮|shi|haka(ru)|consult with|
|443|狭|kyou, kou|sema(i), seba(meru), sa|cramped, narrow, contract, tight|
|444|卓|taku||eminent, table, desk, high|
|445|亀|ki, kyuu, kin|kame|tortoise, turtle|
|446|糧|ryou, rou|kate|provisions, food, bread|
|447|梶|bi|kaji, kozue|sculling oar|
|448|簿|bo||register, record book|
|449|炉|ro|irori|hearth, furnace, kiln, reactor|
|450|牧|boku|maki|breed, care for, shepherd, feed, pasture|
|451|殊|shu|koto|particularly, especially, exceptionally|
|452|殖|shoku|fu(eru), fu(yasu)|augment, increase, multiply, raise|
|453|艦|kan||warship|
|454|輩|hai|-bara, yakara, yakai, tomogara|comrade, fellow, people, companions|
|455|穴|ketsu|ana|hole, aperture, slit, cave, den|
|456|奇|ki|ku(shiki), aya(shii), kushi, mezura(shii)|strange, strangeness, curiosity|
|457|慢|man||ridicule, laziness|
|458|鶴|kaku|tsuru|crane, stork|
|459|謀|bou, mu|haka(ru), tabaka(ru), hakarigoto|conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive|
|460|暖|dan, non|atata(kai)|warmth|
|461|昌|shou|sakan|prosperous, bright, clear|
|462|拍|haku, hyou||clap, beat (music)|
|463|朗|rou|hoga(raka), aki(raka)|melodious, clear, bright, serene, cheerful|
|464|丈|jou|take, dake|length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely|
|465|寛|kan|kutsuro(gu), hiro(i), yuru(yaka)|tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded|
|466|覆|fuku|oo(u), kutsugae(su)|capsize, cover, shade, mantle, be ruined|
|467|胞|hou||placenta, sac, sheath|
|468|泣|kyuu|na(ku)|cry, weep, moan|
|469|隔|kaku|heda(teru)|isolate, alternate, distance, separate, gulf|
|470|浄|jou, sei|kiyo(meru), kiyo(i)|clean, purify, cleanse, exorcise, Manchu Dynasty|
|471|没|botsu, motsu|obo(reru), shizu(mu), nai|drown, sink, hide, fall into, disappear, die|
|472|暇|ka|itoma|spare time, rest, leisure, time, leave of absence|
|473|肺|hai||lungs|
|474|貞|tei, jou|tadashi(i), sada|upright, chastity, constancy, righteousness|
|475|靖|sei, jou|yasu(njiru)|peaceful|
|476|鑑|kan|kanga(miru), kagami|specimen, take warning from, learn from|
|477|飼|shi|ka(u)|domesticate, raise, keep, feed|
|478|陰|in|kage, kage(ru)|shade, yin, negative, sex organs, secret, shadow|
|479|銘|mei||inscription, signature (of artisan)|
|480|随|zui|manima(ni), shitaga(u)|follow, though, notwithstanding, while, during, both, all, obey, submit to, comply|
|481|烈|retsu|hage(shii)|ardent, violent, vehement, furious, severe, extreme|
|482|尋|jin|tazu(neru), hiro|inquire, fathom, look for|
|483|渕|en, kaku, kou|fuchi, kata(i), hanawa|edge|
|484|稿|kou|wara, shitagaki|draft, copy, manuscript, straw|
|485|丹|tan|ni|rust-colored, red, red lead, pills, sincerity|
|486|啓|kei|hira(ku), sato(su)|disclose, open, say|
|487|也|ya, e|nari, ka, mata|to be (classical)|
|488|丘|kyuu|oka|hill, knoll|
|489|棟|tou|mune, muna-|ridgepole, ridge|
|490|壌|jou|tsuchi|lot, earth, soil|
|491|漫|man|midari(ni), sozo(ro)|cartoon, involuntarily, unrestrained, in spite of oneself, corrupt|
|492|玄|gen|kuro, kuro(i)|mysterious, occultness, black, deep, profound|
|493|粘|nen|neba(ru)|sticky, glutinous, greasy, persevere|
|494|悟|go|sato(ru)|enlightenment, perceive, discern, realize, understand|
|495|舗|ho||shop, store, pave|
|496|妊|nin, jin|hara(mu), migomo(ru)|pregnancy|
|497|熟|juku|u(reru)|mellow, ripen, mature, acquire skill|
|498|旭|kyoku|asahi|rising sun, morning sun|
|499|恩|on||grace, kindness, goodness, favor, mercy, blessing, benefit|
|500|騰|tou|aga(ru), nobo(ru)|leaping up, jumping up, rising, advancing, going|
|501|往|ou|i(ku), inishie, saki(ni), yu(ku)|journey, travel, chase away, let go, going, before, formerly|
|502|豆|tou, zu|mame, mame-|beans, pea, midget|
|503|遂|sui|to(geru), tsui(ni)|consummate, accomplish, attain, commit (suicide)|
|504|狂|kyou|kuru(u)|lunatic, insane, crazy, confuse|
|505|栃||tochi|horse chestnut, (kokuji)|
|506|岐|ki, gi||branch off, fork in road, scene, arena, theater|
|507|陛|hei||highness, steps (of throne)|
|508|緯|i|yokoito, nuki|horizontal, woof, left & right, (parallels of) latitude, prediction|
|509|培|bai|tsuchika(u)|cultivate, foster|
|510|衰|sui|otoro(eru)|decline, wane, weaken|
|511|艇|tei||rowboat, small boat|
|512|屈|kutsu|kaga(mu)|yield, bend, flinch, submit|
|513|径|kei|michi, komichi, sashiwatashi, tadachini|diameter, path, method|
|514|淡|tan|awa(i)|thin, faint, pale, fleeting|
|515|抽|chuu|hiki-|pluck, pull, extract, excel|
|516|披|hi||expose, open|
|517|廷|tei||courts, imperial court, government office|
|518|錦|kin|nishiki|brocade, fine dress, honors|
|519|准|jun||quasi-, semi-, associate|
|520|暑|sho|atsu(i)|sultry, hot, summer heat|
|521|磯|ki|iso|seashore, beach|
|522|奨|shou, sou|susu(meru)|exhort, urge, encourage|
|523|浸|shin|hita(su), tsu(karu)|immersed, soak, dip, steep, moisten, wet, dunk|
|524|剰|jou|amatsusae, ama(ri)|surplus, besides|
|525|胆|tan|kimo|gall bladder, courage, pluck, nerve|
|526|繊|sen||slender, fine, thin kimono|
|527|駒|ku|koma|pony, horse, colt|
|528|虚|kyo, ko|muna(shii),utsu(ro)|void, emptiness, unpreparedness, crack, fissure, untruth|
|529|孜|shi|tsuto(meru)|industriousness|
|530|霊|rei, ryou|tama|spirits, soul|
|531|帳|chou|tobari|notebook, account book, album, curtain, veil, net, tent|
|532|悔|kai|ku(iru), ku(yamu)|repent, regret|
|533|諭|yu|sato(su)|rebuke, admonish, charge, warn, persuade|
|534|惨|san, zan|miji(me), ita(mu), mugo(i)|wretched, disaster, cruelty, harsh|
|535|虐|gyaku|shiita(geru)|tyrannize, oppress|
|536|翻|hon, han|hirugae(ru)|flip, turn over, wave, flutter, change (mind)|
|537|墜|tsui|o(chiru), o(tsu)|crash, fall (down)|
|538|沼|shou|numa|marsh, lake, bog, swamp, pond|
|539|据|kyo|su(eru), su(waru)|set, lay a foundation, install, equip, squat down, sit down|
|540|肥|hi|ko(eru), koe, ko(yasu), futo(ru)|fertilizer, get fat, fertile, manure, pamper|
|541|徐|jo|omomu(roni)|gradually, slowly, deliberately, gently|
|542|糖|tou||sugar|
|543|搭|tou||board, load (a vehicle), ride|
|544|盾|jun|tate|shield, escutcheon, pretext|
|545|脈|myaku|suji|vein, pulse, hope|
|546|滝|rou, sou|taki|waterfall, rapids, cascade|
|547|軌|ki||rut, wheel, track, model, way of doing|
|548|俵|hyou|tawara|bag, bale, sack, counter for bags|
|549|妨|bou|samata(geru)|disturb, prevent, hamper, obstruct|
|550|盧|ro||hut|
|551|擦|satsu|su(ru), -zu(re), kosu(ru)|grate, rub, scratch, scrape, chafe, scour|
|552|鯨|gei|kujira|whale|
|553|荘|sou, shou, chan|houki, ogoso(ka)|villa, inn, cottage, feudal manor, solemn, dignified|
|554|諾|daku||consent, assent, agreement|
|555|雷|rai|kamirari, ikazuchi, ikadzuchi|thunder, lightning bolt|
|556|漂|hyou|tadayo(u)|drift, float (on liquid)|
|557|懐|kai, e|futokoro, natsu(kashii), nazu(keru), ida(ku), omo(u)|feelings, heart, yearn, miss someone, become attached to, bosom, breast, pocket|
|558|勘|kan||intuition, perception, check, compare, sixth sense|
|559|栽|sai||plantation, planting|
|560|拐|kai||kidnap, falsify|
|561|笠|ryuu|kasa|bamboo hat, one's influence|
|562|駄|da, ta||burdensome, pack horse, horse load, send by horse, trivial, worthless|
|563|添|ten|so(eru), so(u)|annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate|
|564|冠|kan|kanmuri|crown, best, peerless|
|565|斜|sha|nana(me), hasu|diagonal, slanting, oblique|
|566|鏡|kyou, kei|kagami|mirror, speculum, barrel-head, round rice-cake offering|
|567|聡|sou|sato(i), mimizato(i)|wise, fast learner|
|568|浪|rou||wandering, waves, billows, reckless, unrestrained|
|569|亜|a|tsu(gu)|Asia, rank next, come after, -ous|
|570|覧|ran|mi(ru)|perusal, see|
|571|詐|sa|itsuwa(ru)|lie, falsehood, deceive, pretend|
|572|壇|dan, tan||podium, stage, rostrum, terrace|
|573|勲|kun|isao|meritorious deed, merit|
|574|魔|ma||witch, demon, evil spirit|
|575|酬|shuu, shu, tou|muku(iru)|repay, reward, retribution|
|576|紫|shi|murasaki|purple, violet|
|577|曙|sho|akebono|dawn, daybreak|
|578|紋|mon||family crest, figures|
|579|卸|sha|oro(su), oroshi|wholesale|
|580|奮|fun|furu(u)|stirred up, be invigorated, flourish|
|581|趙|chou, jou, kyou||nimble, late-going|
|582|欄|ran|tesuri|column, handrail, blank, space|
|583|逸|itsu|so(reru), hagu(reru)|deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge|
|584|涯|gai|hate|horizon, shore, limit, bound|
|585|拓|taku|hira(ku)|clear (the land), open, break up (land)|
|586|眼|gan, gen|manako, me|eyeball|
|587|獄|goku||prison, jail|
|588|筑|chiku||an ancient musical instrument|
|589|尚|shou|nao|esteem, furthermore, still, yet|
|590|阜|fu, fuu||hill, mound, left village radical (no. 170)|
|591|彫|chou|ho(ru), -bo(ri)|carve, engrave, chisel|
|592|穏|on|oda(yaka)|calm, quiet, moderation|
|593|顕|kun|akiraka, arawa(reru)|appear, existing|
|594|巧|kou|taku(mi), uma(i)|adroit, skilled, ingenuity|
|595|矛|mu, bou|hoko|halberd, arms, festival float|
|596|垣|en|kaki|hedge, fence, wall|
|597|欺|gi|azamu(ku)|deceit, cheat, delude|
|598|釣|chou|tsu(ru)|angling, fish, catch, allure, ensnare|
|599|萩|shuu|hagi|bush clover|
|600|粧|shou||cosmetics, adorn (one's person)|
|601|葛|katsu, kachi|tsudzura, kuzu|arrowroot, kudzu|
|602|粛|shuku, suku|tsutsushi(mu)|solemn, quietly, softly|
|603|栗|ritsu, ri|kuri, ononoku|chestnut|
|604|愚|gu|oro(ka)|foolish, folly, absurdity, stupid|
|605|嘉|ka|yomi(suru), yoi|applaud, praise, esteem, happy, auspicious|
|606|遭|sou|a(u), a(waseru)|encounter, meet, party, association, interview, join|
|607|架|ka|ka(keru)|erect, frame, mount, support, shelf, construct|
|608|篠|zou, shou|shino, sasa, suzu|bamboo grass|
|609|鬼|ki|oni|ghost, devil|
|610|庶|sho||commoner, all, bastard|
|611|稚|chi, ji|itokenai, osanai, okute, oderu|immature, young|
|612|菅|kan, ken|suge|sedge|
|613|滋|ji, shi||nourishing, more & more, be luxuriant, planting, turbidity|
|614|幻|gen|maboroshi|phantasm, vision, dream, illusion, apparition|
|615|煮|sha|ni(ru), -ni|boil, cook|
|616|姫|ki|hime, hime-|princess|
|617|誓|sei|chika(u)|vow, swear, pledge|
|618|把|ha, wa||grasp, faggot, bunch, counter for bundles|
|619|践|sen|fu(mu)|tread, step on, trample, practice, carry through|
|620|呈|tei||display, offer, present, send, exhibit|
|621|疎|so, sho|uto(i), maba(ra)|alienate, rough, neglect, shun, sparse, penetrate|
|622|仰|gyou, kou|oo(gu), o(ssharu)|face-up, look up, depend, seek, respect, revere, drink, take|
|623|剛|gou||sturdy, strength|
|624|疾|shitsu|haya(i)|rapidly|
|625|征|sei||subjugate, attack the rebellious, collect taxes|
|626|砕|sai|kuda(ku)|smash, break, crush, familiar, popular|
|627|謡|you|uta(i)|song, sing, ballad, noh chanting|
|628|嫁|ka|yome, totsu(gu), i(ku), yu(ku)|marry into, bride|
|629|謙|ken|herikuda(ru)|self-effacing, humble oneself, condescend, be modest|
|630|后|kou, go|kisaki|empress, queen, after, behind, back, later|
|631|嘆|tan|nage(ku), nage(kawashii)|sigh, lament, moan, grieve, sigh of admiration|
|632|俣|mata||crotch, thigh, groin, fork, junction, (kokuji)|
|633|菌|kin||germ, fungus, bacteria|
|634|鎌|ren, ken|kama|sickle, scythe, trick|
|635|巣|sou|su, su(kuu)|nest, rookery, hive, cobweb, den|
|636|頻|hin|shiki(rini)|repeatedly, recur|
|637|琴|kin, gon|koto|harp, koto|
|638|班|han||squad, corps, unit, group|
|639|淵|en, kaku, kou|fuchi, kata(i), hanawa|abyss, edge, deep pool, the depths|
|640|棚|hou|tana, -dana|shelf, ledge, rack, mount, mantle, trellis|
|641|潔|ketsu|isagiyo(i)|undefiled, pure, clean, righteous, gallant|
|642|酷|koku|hido(i)|cruel, severe, atrocious, unjust|
|643|宰|sai||superintend, manager, rule|
|644|廊|rou||corridor, hall, tower|
|645|寂|jaku, seki|sabi, sabi(shii), sami(shii)|loneliness, quietly, mellow, mature, death of a priest|
|646|辰|shin, jin|tatsu|sign of the dragon, 7-9AM, fifth sign of Chinese zodiac, shin dragon radical (no. 161)|
|647|霞|ka, ge|kasumi, kasu(mu)|be hazy, grow dim, blurred|
|648|伏|fuku|fu(seru), fu(su)|prostrated, bend down, bow, cover, lay (pipes)|
|649|柏|haku, hyaku, byaku|kashiwa|oak, cypress|
|650|碁|go||Go|
|651|俗|zoku||vulgar, customs, manners, worldliness, mundane things|
|652|漠|baku||vague, obscure, desert, wide|
|653|邪|ja|yokoshi(ma)|wicked, injustice, wrong|
|654|晶|shou||sparkle, clear, crystal|
|655|辻||tsuji|crossing, crossroad, street corners, (kokuji)|
|656|墨|boku|sumi|black ink, India ink, ink stick, Mexico|
|657|鎮|chin|shizu(meru), osae|tranquilize, ancient peace-preservation centers|
|658|洞|dou|hora|den, cave, excavation|
|659|履|ri|ha(ku)|perform, complete, footgear, shoes, boots, put on (the feet)|
|660|劣|retsu|oto(ru)|inferiority, be inferior to, be worse|
|661|那|na, da|nani, nanzo, ikan|what?|
|662|殴|ou|nagu(ru)|assault, hit, beat, thrash|
|663|娠|shin||with child, pregnancy|
|664|奉|hou, bu|tatematsu(ru), matsu(ru), hou(zuru)|observance, offer, present, dedicate|
|665|憂|yuu|ure(eru), ure(i), u(i), u(ki)|melancholy, grieve, lament, be anxious, sad, unhappy|
|666|朴|boku|hou, hoo, enoki|crude, simple, plain, docile|
|667|亭|tei, chin||pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name|
|668|淳|jun, shun|atsu(i)|pure|
|669|荻|teki|ogi|reed, rush|
|670|嶋|tou|shima|island|
|671|怪|kai, ke|aya(shii), aya(shimu)|suspicious, mystery, apparition|
|672|鳩|kyuu, ku|hato, atsu(meru)|pigeon, dove|
|673|柴|sai, shi|shiba|brush, firewood|
|674|酔|sui|yo(u), yo(i), yo|drunk, feel sick, poisoned, elated, spellbound|
|675|惜|seki|o(shii), o(shimu)|pity, be sparing of, frugal, stingy, regret|
|676|穫|kaku||harvest, reap|
|677|佳|ka||excellent, beautiful, good, pleasing, skilled|
|678|潤|jun|uruo(u), uru(mu)|wet, be watered, profit by, receive benefits, favor, charm, steep|
|679|悼|tou|ita(mu)|lament, grieve over|
|680|乏|bou|tobo(shii), tomo(shii)|destitution, scarce, limited|
|681|該|gai||above-stated, the said, that specific|
|682|赴|fu|omomu(ku)|proceed, get, become, tend|
|683|桑|sou|kuwa|mulberry|
|684|桂|kei|katsura|Japanese Judas-tree, cinnamon tree|
|685|髄|zui||marrow, pith, essence|
|686|虎|ko|tora|tiger, drunkard|
|687|盆|bon||basin, lantern festival, tray|
|688|晋|shin|susu(mu)|advance|
|689|穂|sui|ho|ear, ear (grain), head, crest (wave)|
|690|壮|sou|sakan|robust, manhood, prosperity|
|691|堤|tei|tsutsumi|dike, bank, embankment|
|692|飢|ki|u(eru)|hungry, starve|
|693|傍|bou|katawa(ra), waki, oka-, hata, soba|bystander, side, besides, while, nearby, third person|
|694|疫|eki, yaku||epidemic|
|695|累|rui||accumulate, involvement, trouble, tie up, continually|
|696|痴|chi|shi(reru), oroka|stupid, foolish|
|697|搬|han||conveyor, carry, transport|
|698|晃|kou|akiraka|clear|
|699|癒|yu|i(eru), iya(su)|healing, cure, quench (thirst), wreak|
|700|桐|tou, dou|kiri|paulownia|
|701|寸|sun||measurement, tenth of a shaku, a little, small|
|702|郭|kaku|kuruwa|enclosure, quarters, fortification, red-light district|
|703|尿|nyou|yubari, ibari, shito|urine|
|704|凶|kyou||villain, evil, bad luck, disaster|
|705|吐|to|ha(ku), tsu(ku)|spit, vomit, belch, confess, tell (lies)|
|706|宴|en|utage|banquet, feast, party|
|707|鷹|you, ou|taka|hawk|
|708|賓|hin|maroudo, shitagau|V.I.P., guest|
|709|虜|ryo, ro|toriko, toriku|captive, barbarian, low epithet for the enemy|
|710|陶|tou|sue|pottery, porcelain|
|711|鐘|shou|kane|bell, gong, chimes|
|712|憾|kan|ura(mu)|remorse, regret, be sorry|
|713|畿|ki|miyako|capital, suburbs of capital|
|714|猪|cho|i, inoshishi|boar|
|715|紘|kou|oodzuna, tsuna, tsunagu|large|
|716|磁|ji||magnet, porcelain|
|717|弥|mi, bi|ya, iya, iyo(iyo), wata(ru)|all the more, increasingly|
|718|昆|kon||descendants, elder brother, insect|
|719|粗|so|ara(i), ara-|coarse, rough, rugged|
|720|訂|tei|tada(su)|revise, correct, decide|
|721|芽|ga|me|bud, sprout, spear, germ|
|722|尻|kou|shiri|buttocks, hips, butt, rear|
|723|庄|shou, so, sou, hou||level, in the country, manor, village, hamlet|
|724|傘|san|kasa|umbrella|
|725|敦|ton, tai, dan, chou|atsu(i)|industry, kindliness|
|726|騎|ki||equestrian, riding on horses, counter for equestrians|
|727|寧|nei|mushi(ro)|rather, preferably, peaceful, quiet, tranquility|
|728|循|jun||sequential, follow|
|729|忍|nin|shino(bu), shino(baseru)|endure, bear, put up with, conceal, secrete, spy, sneak|
|730|磐|ban, han|iwa|rock, crag, cliff, wall (in a mine)|
|731|怠|tai|okota(ru), nama(keru)|neglect, laziness|
|732|如|jo, nyo|goto(shi)|likeness, like, such as, as if, better, best, equal|
|733|寮|ryou||dormitory, hostel, villa, tea pavillion|
|734|祐|yuu, u|tasu(keru)|help|
|735|鵬|hou|ootori|phoenix|
|736|鉛|en|namari|lead|
|737|珠|shu|tama|pearl, gem, jewel|
|738|凝|gyou|ko(ru), kogo(rasu)|congeal, freeze, stiff, be absorbed in|
|739|苗|byou, myou|nae, nawa-|seedling, sapling, shoot|
|740|獣|juu|kemono, kedamono|animal, beast|
|741|哀|ai|awa(re), kana(shii)|pathetic, grief, sorrow, pathos, pity, sympathize|
|742|跳|chou|ha(neru), to(bu), -to(bi)|hop, leap up, spring, jerk, prance, buck, splash, sputter, snap|
|743|匠|shou|takumi|artisan, workman, carpenter|
|744|垂|sui|ta(reru), -ta(re), nannanto(su)|droop, suspend, hang, slouch|
|745|蛇|ja, da, i, ya|hebi|snake, serpent, hard drinker|
|746|澄|chou|su(mu), su(masu), -su(masu)|lucidity, be clear, clear, clarify, settle, strain, look grave|
|747|縫|hou|nu(u)|sew, stitch, embroider|
|748|僧|sou||Buddhist priest, monk|
|749|眺|chou|naga(meru)|stare, watch, look at, see, scrutinize|
|750|唐|tou|kara|T'ang, China, foreign|
|751|亘|kou, kan, sen|wata(ru), moto(meru)|span, range, extend over|
|752|呉|go|ku(reru)|give, do something for, kingdom of Wu|
|753|凡|bon, han|oyo(so), ouyo(so), sube(te)|commonplace, ordinary, mediocre|
|754|憩|kei|iko(i), iko(u)|recess, rest, relax, repose|
|755|鄭|tei, jou||an ancient Chinese province|
|756|芦|ro|ashi, yoshi|reed, bullrush|
|757|龍|ryuu, ryou, rou|tatsu|dragon, imperial|
|758|媛|en|hime|beautiful woman, princess|
|759|溝|kou|mizo|gutter, ditch, sewer, drain, 10**32|
|760|恭|kyou|uyauya(shii)|respect, reverent|
|761|刈|gai, kai|ka(ru)|reap, cut, clip, trim, prune|
|762|睡|sui|nemu(ru), nemu(i)|drowsy, sleep, die|
|763|錯|saku, shaku||confused, mix, be in disorder|
|764|伯|haku||chief, count, earl, uncle, Brazil|
|765|笹||sasa|bamboo grass, (kokuji)|
|766|穀|koku||cereals, grain|
|767|柿|shi|kaki|persimmon|
|768|陵|ryou|misasagi|mausoleum, imperial tomb, mound, hill|
|769|霧|mu, bou, bu|kiri|fog, mist|
|770|魂|kon|tamashii, tama|soul, spirit|
|771|弊|hei||abuse, evil, vice, breakage|
|772|釧|sen|kushiro, udewa|bracelet|
|773|妃|hi|kisaki|queen, princess|
|774|舶|haku||liner, ship|
|775|餓|ga|u(eru)|starve, hungry, thirst|
|776|腎|jin||kidney|
|777|窮|kyuu, kyou|kiwa(meru)|hard up, destitute, suffer, perplexed, cornered|
|778|掌|shou|tenohira, tanagokoro|manipulate, rule, administer, conduct, palm of hand|
|779|麗|rei|uruwa(shii), ura(raka)|lovely, beautiful, graceful, resplendent|
|780|綾|rin|aya|design, figured cloth, twill|
|781|臭|shuu|kusa(i), -kusa(i), nio(u)|stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant|
|782|釜|fu|kama|kettle, cauldron, iron pot|
|783|悦|etsu|yoroko(bu)|ecstasy, joy, rapture|
|784|刃|jin, nin|ha, yaiba, ki(ru)|blade, sword, edge|
|785|縛|baku|shiba(ru)|truss, arrest, bind, tie, restrain|
|786|暦|reki, ryaku|koyomi|calendar, almanac|
|787|宜|gi|yoro(shii)|best regards, good|
|788|盲|mou|mekura|blind, blind man, ignoramus|
|789|粋|sui|iki|chic, style, purity, essence, pith, cream, elite, choice|
|790|辱|joku|hazukashi(meru)|embarrass, humiliate, shame|
|791|毅|ki, gi|tsuyo(i)|strong|
|792|轄|katsu|kusabi|control, wedge|
|793|猿|en|saru|monkey|
|794|弦|gen|tsuru|bowstring, chord, hypotenuse|
|795|嶌|tou|shima|island|
|796|稔|nen, jin, nin|mino(ru), minori|harvest, ripen|
|797|窒|chitsu||plug up, obstruct|
|798|炊|sui|ta(ku), -da(ki)|cook, boil|
|799|洪|kou||deluge, flood, vast|
|800|摂|setsu, shou|osa(meru), kane(ru), to(ru)|vicarious, surrogate, act in addition to, take in, absorb|
|801|飽|hou|a(kiru), a(kasu), a(ku)|sated, tired of, bored, satiate|
|802|函|kan|hako, i(reru)|box (archaic)|
|803|冗|jou||superfluous, uselessness|
|804|桃|tou|momo|peach|
|805|狩|shu|ka(ru), ka(ri), -ga(ri)|hunt, raid, gather|
|806|朱|shu|ake|vermilion, cinnabar, scarlet, red, bloody|
|807|渦|ka|uzu|whirlpool, eddy, vortex|
|808|紳|shin||sire, good belt, gentleman|
|809|枢|suu, shu|toboso, karakuri|hinge, pivot, door, center of things|
|810|碑|hi|ishibumi|tombstone, monument|
|811|鍛|tan|kita(eru)|forge, discipline, train|
|812|刀|tou|katana, sori|sword, saber, knife|
|813|鼓|ko|tsudzumi|drum, beat, rouse, muster|
|814|裸|ra|hadaka|naked, nude, uncovered, partially clothed|
|815|鴨|ou|kamo, ahiru|wild duck, easy mark|
|816|猶|yuu, yu|nao|furthermore, still, yet|
|817|塊|kai, ke|katamari, tsuchikure|clod, lump, chunk, clot, mass|
|818|旋|sen|mu(guru), ibari|rotation, go around|
|819|弓|kyuu|yumi|bow, bow (archery, violin)|
|820|幣|hei|nusa|cash, bad habit, humble prefix, gift|
|821|膜|maku||membrane|
|822|扇|sen|ougi|fan, folding fan|
|823|脇|kyou|waki, wake|armpit, the other way, another place, flank, supporting role|
|824|腸|chou|harawata, wata|intestines, guts, bowels, viscera|
|825|槽|sou|fune|vat, tub, tank|
|826|鍋|ka|nabe|pot, pan, kettle|
|827|慈|ji|itsuku(shimu)|mercy|
|828|樋|tou|hi, toi|water pipe, gutter, downspout, conduit|
|829|楊|you|yanagi|willow|
|830|伐|batsu, hatsu, ka, bochi|ki(ru), somu(ku), u(tsu)|fell, strike, attack, punish|
|831|駿|shun, sun|sugu(reru)|a good horse, speed, a fast person|
|832|漬|shi|tsu(keru), -dzuke|pickling, soak, moisten, steep|
|833|糾|kyuu|tada(su)|twist, ask, investigate, verify|
|834|亮|ryou|akiraka|clear, help|
|835|墳|fun||tomb, mound|
|836|坪|hei|tsubo|two-mat area, approx. thirty-six sq ft|
|837|紺|kon||dark blue, navy|
|838|慌|kou|awa(teru), awa(tadashii)|disconcerted, be confused, lose one's head|
|839|娯|go||recreation, pleasure|
|840|吾|go|ware, waga-, a-|I, my, our, one's own|
|841|椿|chin, chun|tsubaki|camellia|
|842|舌|zetsu|shita|tongue, reed, clapper|
|843|羅|ra|usumono|gauze, thin silk, Rome, arrange, spread out|
|844|峡|kyou, kou|hazama|gorge, ravine|
|845|俸|hou||stipend, salary|
|846|厘|rin||rin, 1/10 sen, 1/10 bu|
|847|峰|hou|mine, ne|summit, peak|
|848|圭|kei, ke||square jewel, corner, angle, edge|
|849|醸|jou|kamo(su)|brew, cause|
|850|蓮|ren|hasu, hachisu|lotus|
|851|弔|chou|tomura(u), tobura(u)|condolences, mourning, funeral|
|852|乙|otsu, itsu|oto-, kinoto|the latter, duplicate, strange, witty, fishhook radical (no. 5)|
|853|倶|gu, ku|tomo(ni)|both, together, alike|
|854|汁|juu|shiru, -shiru, tsuyu|soup, juice, broth, sap, gravy, pus|
|855|尼|ni|ama|nun|
|856|遍|hen|amane(ku)|everywhere, times, widely, generally|
|857|堺|kai|sakai|world|
|858|衡|kou||equilibrium, measuring rod, scale|
|859|呆|hou|bo(keru), aki(reru), oroka|be amazed, disgusted, shocked|
|860|薫|kun|kao(ru)|send forth fragrance, fragrant, be scented, smoke (tobacco)|
|861|瓦|ga|kawara, guramu|tile, gram|
|862|猟|ryou|kari, ka(ru)|game-hunting, shooting, game, bag|
|863|羊|you|hitsuji|sheep|
|864|窪|wa, a|kubo(mu)|depression, cave in, sink, become hollow|
|865|款|kan||goodwill, article, section, friendship, collusion|
|866|閲|etsu|kemi(suru)|review, inspection, revision|
|867|雀|jaku, jan, saku, shaku|suzume|sparrow|
|868|偵|tei||spy|
|869|喝|katsu||hoarse, scold|
|870|敢|kan|a(ete)|daring, brave, bold, sad, tragic, pitiful|
|871|畠||hatake, hata|field, farm, garden, (kokuji)|
|872|胎|tai||womb, uterus|
|873|酵|kou||fermentation|
|874|憤|fun|ikidoo(ru)|aroused, resent, be indignant, anger|
|875|豚|ton|buta|pork, pig|
|876|遮|sha|saegi(ru)|intercept, interrupt, obstruct|
|877|扉|hi|tobira|front door, title page, front page|
|878|硫|ryuu||sulphur|
|879|赦|sha|yuru(su)|pardon, forgiveness|
|880|挫|za, sa|kuji(ku)|crush, break, sprain, discourage|
|881|窃|setsu|nusu(mu), hiso(ka)|stealth, steal, secret, private, hushed|
